	SMPC 2019, New York City - Preliminary Program			
	Tue Aug 6 - Day 2			
	TRACK 1 (Room 802)	TRACK 2 (Room 905/907)	TRACK 3 (Room 909)	TRACK 4 (Room 914)
9:00 AM	Coffee on your own			
9:30-10:15 AM	G1 - Beat & Meter 3: Time	G2 - Harmony 2	G3 - Neuroscience 1	G4 - Effects of Music Training
10:15-11:00 AM	H1 - Beat & Meter 4: Processing	H2 - Learning	H3 - Neuroscience 2	H4 - Absolutes
11:00-11:30 AM	Coffee and snacks (available 10am-12pm in 903)			
11:30-12:15 PM	I1 - Memory	I2 - Melody 1: Topography	I3 - Embodiment	I4 - Symposium: Open Science Part 1
12:15-1:00 PM	J1 - Music Training 2: Language	J2 - Methodology	J3 - Music Therapy	J4 - Symposium: Open Science Part 2
1:00-2:30 PM	Lunch on your own / Early Career Researcher panel discussion 1:30-2:15 (room 914)			
2:30-3:00 PM	K1 - Social Interventions	K2 - Form 1	K3 - Medical Interventions	K4 - Melody 2
3:00-3:30 PM	L1 - Mental Representations	L2 - Form 2: Closure	L3 - Music in the Hands	L4 - Beat & Meter 5: Non-Human Perspectives
3:30-4:45 PM	Poster session 1 (Coffee/snacks available 3-5pm) 			
4:45-6:00 PM	Poster session 2			
				
7:00-10:30 PM	Dinner cruise around Manhattan			
	Tuesday, Aug. 6 - Day 2			
	Spoken Presentations			
	Track 1	Track 2	Track 3	Track 4
9:30 AM	27 (J. London) Motown, Disco, and Drumming: The Effects of Beat Salience and Song Memory on Tempo Perception	45 (R. Friedman)Harmonicity and Consonance Within an Unconventional Tuning System	275 (T. Henechowicz) Prevalence of BDNF polymorphism in musicians: Evidence for compensatory motor learning strategies in music?	40 (B. Zendel) Auditory processing abilities in formally trained and self-taught musicians
9:45 AM	202 (G. Camara) Timing is Everything… or is it? Effects of Timing Style and Timing Reference on Drum-Kit Sound in Groove Performance	221 (D. Sears) Overlapping magisteria? Identifying prototypical harmonic progressions across (tertian) styles	199 (K. Myun Lee) Enhanced subcortical responses of musicians to sounds presented on metrically strong beats	42 (J. Hou) Musical training and decision making ability: A resting-state amplitude of low frequency fluctuations (ALFF) study
10:00 AM	215 (J. Noble) Time and Timelessness in 20th-Century Music: An Experimental Study	379 (C White) Harmonic Grammar, Chord Frequency, and Database Structure	375 (D. Comstock) Neural time-frequency characteristics of auditory and visual rhythm entrainment	319 (A. Battcock) Musical Training and Emotion: Does Experience Affect Perception?
10:15 AM	164 (J. Cannon) A neurocomputational model of beat-based temporal processing	241 (D. Baker) What is happening in a student’s mind when they perform melodic dictation?	151 (T. Regev) The neural representation of pitch – height versus chroma	34 (S. Mak) Implicit Learning, Cultural Encoding, and the ‘Heightened Tonal Memory’ Model of Absolute Pitch Ability
