	SMPC 2019, New York City - Preliminary Program				
	Wed Aug 7 - Day 3				
	TRACK 1 (Room 802)	TRACK 2 (Room 905/907)	TRACK 3 (Room 909)	TRACK 4 (Room 914)	
9:00 AM	Coffee on your own				
9:30-10:30 AM	M1 - Symposium: Everyday Music in Infancy	M2 - Beat & Meter 6: Syncopation	M3 - Speech	M4 - Symposium: Musical Expression in the Eye of the Beholder	
10:30-11:45 AM	 Poster session 3 (Coffee/snacks available 10am-12pm)				
11:45-1:00 PM	Poster session 4				
1:00-2:30 PM	Lunch on your own / Journal Editor panel & Applying Graduate Schools discussion 1:30-2:15 (rooms 914 and 802, respectively)				
2:30-3:30 PM	N1 - Perceived Emotion 1	N2 - Modeling Performance	N3 - Dance	N4 - Symposium: The ACTOR Project	
3:30-3:45 PM	Coffee and snacks (available 3-5pm) in 903				
3:45-4:45 PM	O1 - Perceived Emotion 2	O2 - Expert Performance	O3 - Development 2	M4 - ACTOR, cont'd.	
					
5:00-6:30 PM	Business meeting and closing remarks (Loewe Theatre)				
					
Wednesday, Aug. 7 (Day 3) Poster Presentations					
Poster Session 3 (presenters at posters from 10:30-11:45)			Poster Session 4 (presenters at posters from 11:45-1:00)		
submission #	Title	Author(s)	submission #	Title	Author(s)
22	Learning by singing: results from intervention studies in language education	Vera Busse (University of Vechta)*; Ingo Roden (University of Oldenburg); Gunter Kreutz (University of Oldenburg)	P3	10:30-11:45 AM	Rosenthal
33	Rhythmic timing in music and speech: Evidence for shared resources.	Rhimmon Simchy-Gross (University of Arkansas )*; Elizabeth Margulis (University of Arkansas)	P3	10:30-11:45 AM	Rosenthal
39	The impact of aging on neurophysiological entrainment to a metronome	Sarah A Sauvé (Memorial University of Newfoundland)*; Emily Bolt (Memorial University of Newfoundland); Sylvie Nozaradan (UC Louvain); David Fleming (Memorial University of Newfoundland); Benjamin Zendel (Memorial University of Newfoundland)	P3	10:30-11:45 AM	Rosenthal
47	Brain activity and network dynamics during singing an opera aria	Shoji Tanaka (Sophia University)*	P3	10:30-11:45 AM	Rosenthal
66	Musical deficits in Schizophrenia and its relation with cognitive functions and emotion recognition	Shantala Hegde (National Institute of Mental Health and Neuro Sciences)*; Nisha Chandrashekaran (National Institute of Mental Health and Neuro Sciences); Ganesan Venkatasubramanian (National Institute of Mental Health and Neuro Sciences)	P3	10:30-11:45 AM	Rosenthal
73	Singing to learn: How melodic content affects encoding and retrieval	Rachel M Thompson (St. Mary's College of Maryland)*; James Mantell (St. Mary's College of Maryland)	P3	10:30-11:45 AM	Rosenthal
89	The mnemonic effect of songs after stroke and the underlying cognitive and neural mechanisms	Vera Leo (University of Helsinki)*, A.J. Sihvonen (University of Helsinki), T. Linnavalli (University of Helsinki), M. Tervaniemi (University of Helsinki), M. Laine (Åbo Akademi University), S. Soinila (University of Turku) & T. Sarkamo (University of Helsinki)	P3	10:30-11:45 AM	Rosenthal
102	Acoustic Characteristics used to Differentiate Speech from Song and Individual Factors that Impact their Effectiveness	Xin Qi (Western University Brain and Mind Institute)*	P3	10:30-11:45 AM	Rosenthal
114	A continuous model of pulse clarity: towards inspecting affect through expectations in time	Martin A Miguel (LIAA, DC, UBA; ICC, CONICET)*; Mariano Sigman (LNI, UTDT); Diego Fernandez Slezak (LIAA, DC, UBA; ICC, CONICET)	P3	10:30-11:45 AM	Rosenthal
126	Childhood Music Training Induces Change in Brain Structure: Results from Longitudinal and Cross-sectional Studies	Assal Habibi (USC)*; Katrina Heine (USC); Hanna Damasio (USC)	P3	10:30-11:45 AM	Rosenthal
132	Timbre ordering and timbre networks	Roger T. Dean (The MARCS Institute for Brain, Behaviour and Development, Western Sydney University)*; Yvonne Leung (University of New South Wales); Felix Dobrowohl (MARCS Institutes)	P3	10:30-11:45 AM	Rosenthal
137	Melodic similarity in music copyright law: An experimental investigation	Sho Oishi (Keio)*; Rei Konno (Keio University); Charles Cronin (George Washington University Law School); Daniel Müllensiefen (Goldsmiths); Quentin Atkinson (University of Auckland); Shinya Fujii (Keio University); Patrick E. Savage (Keio University)	P3	10:30-11:45 AM	Rosenthal
140	Auditory Attentional Blink and Musical Expertise	Merve Akca (University of Oslo)*	P3	10:30-11:45 AM	Rosenthal
149	That syncing feeling: Physiological arousal in response to observed social synchrony	Haley E. Kragness (University of Toronto Scarborough)*; Laura K Cirelli (University of Toronto Scarborough)	P3	10:30-11:45 AM	Rosenthal
165	Catching the Theme: Aligning Musical Analogs in a Classical Theme and Variation	Nicholas B Swett (University of Sheffield)*	P3	10:30-11:45 AM	Rosenthal
169	Musical Texture as an inducer of cross-modal associations: synaesthesia cases	Svetlana Rudenko (Trinity College Dublin)*	P3	10:30-11:45 AM	Rosenthal
176	The Effect of Musical Play on Interactions Between Children with ASD and their Parents	Olivia Boorom (Vanderbilt University Medical Center); Meredith Watson (Vanderbilt University Medical Center)*; Rongyu Xin (Vanderbilt University); Valerie Munoz (Vanderbilt University Medical Center); Miriam Lense (Vanderbilt University Medical Center)	P3	10:30-11:45 AM	Rosenthal
183	The power of music surpasses the power of suggestion: No effect of titles on imaginative music listening	Naomi Benecasa (University of Sheffield)*	P3	10:30-11:45 AM	Rosenthal
185	The Contributions of Auditory and Visual Cues to Social Rhythmic Entrainment	Miriam Lense (Vanderbilt University Medical Center)*; Michael Z Burchesky (Vanderbilt University Medical Center); Youjia Wang (Vanderbilt University)	P3	10:30-11:45 AM	Rosenthal
193	Effects of Genre Tag Complexity on Popular Music Enjoyment	Lauren M Shepherd (University of Arkansas)*; Elizabeth Margulis (University of Arkansas)	P3	10:30-11:45 AM	Rosenthal
204	Does cold stimulation enhance musical frisson? Effect of cold stimulation on perceptual rating of consonant and dissonant intervals	Yuri Ishikawa (Keio University)*; Patrick E. Savage (Keio University); Masashi Nakatani (Keio University); Shinya Fujii (Keio University)	P3	10:30-11:45 AM	Rosenthal
238	The perception of musical structure: a comparative approach	Paola Crespo-Bojorque (Universitat Pompeu Fabra)*; Juan M. Toro (Universitat Pompeu Fabra; ICREA)	P3	10:30-11:45 AM	Rosenthal
246	Synchronization to vibrotactile rhythms in deaf individuals	Phuong-Nghi T Pham (Ryerson University)*, Sean Gilmore (Ryerson University), Frank Russo (Ryerson University)	P3	10:30-11:45 AM	Rosenthal
