	SMPC 2019, New York City - Preliminary Program			
	Mon Aug 5 - Day 1			
	TRACK 1 (Room 802)	TRACK 2 (Room 905/907)	TRACK 3 (Room 909)	TRACK 4 (Room 914)
9:00 AM	Coffee on your own			
9:30-10:15 AM	A1 - Beat & Meter 1	A2 - Crossing Cultures	A3 - Aging	A4 - Ensemble Performance 1
10:15-11:00 AM	B1 - Beat & Meter 2	B2 - Timbre 1	B3 - Having Vision	B4 - Ensemble Performance 2: Improvisation
11:00-11:30 AM	Coffee and snacks (available 10am-12pm in KC 903)			
11:30-12:15 PM	C1 - The Voice 1	C2 - Timbre 2	C3 - Personal Music Listening 1	C4 - Symposium: LIVELab Part 1
12:15-1:00 PM	D1 - The Voice 2	D2 - The Listener	D3 - Personal Music Listening 2: Ethics	D4 - Symposium: LIVELab Part 2
1:00-2:30 PM	Lunch on your own			
2:30-3:30 PM	E1 - Ensemble Performance 3: Synchronization	E2 - Harmony 1: Expectation	E3 - Facial Emotion	E4 - Symposium: Music Training and Executive Function
3:30-3:45 PM	Coffee and snacks (available 3-5pm in KC 903)			
3:45-4:45 PM	F1 - Aesthetic Responses	F2 - Development	F3 - Modeling the Brain	F4 - Symposium: Music-Evoked Autobiographical Memories
				
5:00-6:30 PM	President's address and Keynote Lecture "Fire and Ice: A Case Study for the Sounds of Poetry Viewed as Music" by Fred Lerdahl (Loewe Theatre)			
				
6:45-9:00 PM	Opening reception (Rosenthal)			
				
	Mon Aug 5 - Day 1			
	Spoken Presentations			
	Track 1	Track 2	Track 3	Track 4
9:30 AM	296 (C. Miller-Rigoli) Recent experience effects in complex rhythm processing	49 (E. Margulis) The Stories Music Tells: Cross-Cultural Narratives for Wordless Music	299 (G. Barradas) Psychological Mechanisms underlying musical emotions in dementia	279 ( C. Palmer) Role of ears, heads, and eyes in vocal duet performance
9:45 AM	302 (P. Cariani) Recurrent timing nets for rhythmic expectancy	76 (L. Heng) Timbre's role in communicating emotions between performers and listeners from Western art music and Chinese music cultures	318 (A. Good) Group singing improves psychosocial wellbeing in older adults	159 (A. Roman) Individual Musician’s Spontaneous Performance Rates Affect Interpersonal Synchrony in Joint Musical Performance: A Dynamical Systems Model.
10:00 AM	338 (K. Nave) Children synchronize their finger taps to rhythms through iterated reproduction	101 (E. Beier) Similar acoustic events lead to strong emotional responses in music across cultures.	349 (E. Dubinsky) Effects of short-term choir participation on speech-in-noise perception and auditory processing in older adults with hearing loss.	328 (J. Christensen) Balancing self and other during live orchestral performance as reflected by neural alpha oscillations
10:15 AM	95 (F. Hosken) The Production of the “Pocket”: Beats as Domains in a Corpus of Drum Grooves	243 (C. Trevor) The Screaming Strings of the Silver Screen: Signaling Fear Using an Acoustic Feature of Human Screams	332 (M. Brandon) Follow that beat: Using visual rhythm to regulate attention and plan eye-movements	224 (D. Rosen) The Neural Substrates of High-Quality Improvisations among Jazz Guitarists
10:30 AM	277 (N. Condit-Schultz) The Search for the Tactus: A Statistical Investigation of Metric Hierarchies in Popular and Classical Music	79 ( R. Timmers) Preferences and emotional responses to film music using orchestral and/or synthesized sounds	311 (T. Lorenz) Effect of Audio-Visual Asynchrony on a Simple Performance Task by Instrumental Musicians	143 (A. Goldman) Live coding helps distinguish between propositional and embodied improvisation
10:45 AM	330 (S. Holland) Tracking the Beat: A Historical Analysis of Drum Beats in Anglo-American Popular Music	342 (S. Streetharan) Investigating the role of timbre on melodic alarm recognizability	67 ( Y. Cheong) Make your space: Investigation on effects of different musical training on perception of space	188 (K. Helmer) An fMRI study of the brain networks involved in jazz improvisation in a naturalistic setting.
				
