Fostick, Leah;Leah Fostick;Ariel University
Zekveld, Adriana;Adriana Zekveld;Vu Medical Center
Ben-David, Boaz M;Boaz M Ben-David;Interdisciplinary Center Herzliya
Leshem, Omer;Omer Leshem;The New School
Schober, Michael F;Michael F Schober;The New School
London, Justin;Justin London;Carleton College
Mak, Suyin;Suyin Mak;Chinese University of Hong Kong
Marvin, Betsy;Betsy Marvin;Eastman School of Music
Honing, Henkjan;Henkjan Honing;University of Amsterdam
Zendel, Benjamin;Benjamin Zendel;Memorial University of Newfoundland
Alexander, Emily;Emily Alexander;Memorial University of Newfoundland
Oliveira, Bruna De;Bruna De Oliveira;Federal University of ABC
Ventorim, Giulia;Giulia Ventorim;Federal University of ABC
Feitosa-Santana, Claudia;Claudia Feitosa-Santana;Fundação Dom Cabral
Vanzella, Patricia Maria;Patricia Maria Vanzella;Federal University of ABC
Hou, Jiancheng;Jiancheng Hou;University of Wisconsin-Madison
He, Qinghua;Qinghua He;Faculty of Psychology, Southwest University
Chen, Chuansheng;Chuansheng Chen;Department of Psychology and Social Behavior, University of California
Dong, Qi;Qi Dong;State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University
Prabhakaran, Vivek;Vivek Prabhakaran;School of Medicine and Public Health, University of Wisconsin-Madison
Reed, Alissandra;Alissandra Reed;Eastman School of Music
Friedman, Ronald S;Ronald S Friedman;University at Albany, SUNY
Wong, Patrick;Patrick Wong;Chinese University of Hong Kong
Phillips, Natalie;Natalie Phillips;Michigan State University
Simchy-Gross, Rhimmon;Rhimmon Simchy-Gross;University of Arkansas
Kindig, Gabrielle;Gabrielle Kindig;Michigan State University
McAuley, Devin;Devin McAuley;Michigan State University
Levitin, Daniel J;Daniel J Levitin;McGill University
Miralles, Alexandre Celma;Alexandre Celma Miralles;Universitat Pompeu Fabra
Toro, Juan M.;Juan M. Toro;Universitat Pompeu Fabra & ICREA
Pagès, Carlota;Carlota Pagès;Center for Brain and Cognition, Universitat Pompeu Fabra
Stambaugh, Laura;Laura Stambaugh;Georgia Southern
Hegde, Shantala;Shantala Hegde;National Institute of Mental Health and Neuro Sciences
Asem, Babina Asem;Babina Asem Asem;National Institute of Mental Health and Neuro Sciences
Lenka, Abhishek;Abhishek Lenka;National Institute of Mental Health and Neuro Sciences
Philip, Mariamma;Mariamma Philip;National Institute of Mental Health and Neuro Sciences
Pal, Pramod Kumar;Pramod Kumar Pal;National Institute of Mental Health and Neuro Sciences
Cheong, Yong Jeon;Yong Jeon Cheong;Ohio State University
Will, Udo;Udo Will;Ohio State University
Buck, Bryony;Bryony Buck;Institute of Musicians' Medicine University of Music Carl Maria von Weber
Madden, Gerard Breaden;Gerard Breaden Madden;Institute of Musicians' Medicine University of Music Carl Maria von Weber
Beveridge, Scott;Scott Beveridge;Institute of High Performance Computing - Social & Cognitive Computing Department Agency for Science, Technology and Research
Jabusch, Hans-Christian;Hans-Christian Jabusch;Institute of Musicians' Medicine University of Music Carl Maria von Weber
Hennessy, Sarah L;Sarah L Hennessy;University of Southern California
Sachs, Matthew;Matthew Sachs;University of Southern California
Ilari, Beatriz;Beatriz Ilari;University of Southern California
Habibi, Assal;Assal Habibi;University of Southern California
Suberry, Assaf;Assaf Suberry;Levinsky college
Eitan, Zohar;Zohar Eitan;Tel Aviv University
Heng, Lena;Lena Heng;McGill University
Fram, Noah R;Noah R Fram;Stanford University
Timmers, Renee;Renee Timmers;University of Sheffield
Ashley, Richard;Richard Ashley;Northwestern University
Moore, Kimberly Sena;Kimberly Sena Moore;University of Miami
Hanson-Abromeit, Deanna;Deanna Hanson-Abromeit;University of Kansas
Menon, Mythili;Mythili Menon;Wichita State University
Colcher, Drew;Drew Colcher;Wichita State University
Alessandri, Elena;Elena Alessandri;Lucerne University of Applied Sciences and Arts
Baldassarre, Antonio;Antonio Baldassarre;Lucerne University of Applied Sciences and Arts
Senn, Olivier;Olivier Senn;Lucerne University of Applied Sciences and Arts
Szamatulski, Katrin;Katrin Szamatulski;Lucerne University of Applied Sciences and Arts
Williamson, Victoria J.;Victoria J. Williamson;Department of Music, University of Sheffield
Hosken, Fred;Fred Hosken;Northwestern University
Krumhansl, Carol L;Carol L Krumhansl;Cornell University
Beier, Eleonora J;Eleonora J Beier;University of California, Davis
Janata, Petr;Petr Janata;University of California, Davis
Hulbert, Justin;Justin Hulbert;Bard College
Ferreira, Fernanda;Fernanda Ferreira;University of California, Davis
Saitis, Charalampos;Charalampos Saitis;Centre for Digital Music, Queen Mary, University of London
Marinelli, Luca;Luca Marinelli;Audio Communication Group, TU Berlin
Lykartsis, Athanasios;Athanasios Lykartsis;Audio Communication Group, TU Berlin
Weinzierl, Stefan;Stefan Weinzierl;Audio Communication Group, TU Berlin
Leung, Yik Nam Florence;Yik Nam Florence Leung;University of Reading
Zhou, Can;Can Zhou;Shanghai Normal University
Jiang, Cunmei;Cunmei Jiang;Shanghai Normal University
Liu, Fang;Fang Liu;University of Reading
Degé, Franziska;Franziska Degé;Max Planck Institute for Empirical Aesthetics
Roeske, Tina;Tina Roeske;Max Planck Institute for Empirical Aesthetics
Schwarzer, Gudrun;Gudrun Schwarzer;Justus-Liebig-University Giessen
Wald-Fuhrmann, Melanie;Melanie Wald-Fuhrmann;Max Planck Institute for Empirical Aesthetics
Burger, Birgitta;Birgitta Burger;University of Jyväskylä
Schultz, Benjamin;Benjamin Schultz;Maastricht University
Lim, Yeoeun;Yeoeun Lim;Seoul National University
Popkin, Joel;Joel Popkin;University of Massachusetts Medical School
Yi, Suk Won;Suk Won Yi;Seoul National University
Warrenburg, Lindsay;Lindsay Warrenburg;Ohio State University
Reymore, Lindsey E;Lindsey E Reymore;Ohio State University
Shanahan, Daniel;Daniel Shanahan;Louisiana State University
Spyra, Joanna;Joanna Spyra;McMaster University
Woolhouse, Matthew H;Matthew H Woolhouse;McMaster University
Albrecht, Joshua;Joshua Albrecht;The University of Mary Hardin-Baylor
Kowalewski, Douglas A;Douglas A Kowalewski;University at Albany, SUNY
Zavoyskiy, Stan;Stan Zavoyskiy;University at Albany, SUNY
Neill, Trammell;Trammell Neill;University at Albany, SUNY
Sato, Shoichiro;Shoichiro Sato;Keio University
Fujii, Shinya;Shinya Fujii;Keio University
Savage, Patrick E.;Patrick E. Savage;Keio University
Powell, Merrick;Merrick Powell;Macquarie University
Olsen, Kirk N;Kirk N Olsen;Macquarie University
Thompson, Bill;Bill Thompson;Macquarie University
Fenk-Oczlon, Gertraud;Gertraud Fenk-Oczlon;Alpen-Adria- universität
Goldman, Andrew;Andrew Goldman;University of Western Ontario
Norman-Haignere, Samuel V;Samuel V Norman-Haignere;Columbia University
Feather, Jenelle;Jenelle Feather;Massachusetts Institute of Technology
Brunner, Peteer;Peteer Brunner;Albany Medical College, Wadsworth Center, SUNY
Ritaccio, Anthony;Anthony Ritaccio;Albany Medical College, Wadsworth Center, SUNY
McDermott, Josh;Josh McDermott;Massachusetts Institute of Technology
Schalk, Gerwin;Gerwin Schalk;Albany Medical College, Wadsworth Center, SUNY
Kanwisher, Nancy;Nancy Kanwisher;Massachusetts Institute of Technology
Regev, Tamar I;Tamar I Regev;The Hebrew University of Jerusalem
Markusfeld, Geffen;Geffen Markusfeld;The Hebrew University of Jerusalem
Nelken, Israel;Israel Nelken;The Hebrew University of Jerusalem
Deouell, Leon;Leon Deouell;The Hebrew University of Jerusalem
Fleurian, Rémi de;Rémi de Fleurian;Queen Mary University of London
Pearce, Marcus;Marcus Pearce;Queen Mary University of London
Phillips, Keith;Keith Phillips;Royal Norther College of Music
Jackson, Tyreek;Tyreek Jackson;St. John's University
Shea, Nicholas;Nicholas Shea;Ohio State University
Glowacki, Leo;Leo Glowacki;Ohio State University
Shanahan, Daniel;Daniel Shanahan;Ohio State University
Nave-Blodgett, Jessica E;Jessica E Nave-Blodgett;University of Nevada, Las Vegas
Snyder, Joel;Joel Snyder;University of Nevada, Las Vegas
Hannon, Erin;Erin Hannon;University of Nevada, Las Vegas
Roman, Adrian S;Adrian S Roman;University of California, Davis
Roman, Iran R;Iran R Roman;Stanford University
Souza, Jonathan De;Jonathan De Souza;University of Western Ontario
Roy, Adam;Adam Roy;University of Western Ontario
Lense, Miriam;Miriam Lense;Vanderbilt University Medical Center
Beck, Sara;Sara Beck;Randolph College
Summers, Adam;Adam Summers;Belmont University
Pfeiffer, Rita;Rita Pfeiffer;Vanderbilt University
Liu, Christina;Christina Liu;Vanderbilt University Medical Center
Diaz, Nicole;Nicole Diaz;Vanderbilt University
Goodman, Nia;Nia Goodman;Vanderbilt University
Lynch, Megan;Megan Lynch;Vanderbilt University
Cannon, Jonathan J;Jonathan J Cannon;Meridian Academy
Patel, Ani;Ani Patel;Tufts University
Loui, Psyche;Psyche Loui;Northeastern
Marchiano, María;María Marchiano;Laboratorio para el Estudio de la Experiencia Musical, Universidad Nacional de La Plata
Martinez, Isabel Cecilia;Isabel Cecilia Martinez;Laboratorio para el Estudio de la Experiencia Musical, Universidad Nacional de La Plata
Vuvan, Dominique T.;Dominique T. Vuvan;Skidmore College & International Laboratory for Brain, Music, and Sound Research
Hughes, Bryn;Bryn Hughes;The University of Lethbridge
Fisher, Nina;Nina Fisher;The University of Edinburgh
Hadley, Lauren;Lauren Hadley;The Univeristy of Edinburgh
Pickering, Martin;Martin Pickering;The University of Edinburgh
Maimon, Neta;Neta Maimon;Tel Aviv University
Lamy, Dominique;Dominique Lamy;Tel Aviv University
Wilson, Courtney A;Courtney A Wilson;Texas State University
Graham, Reiko;Reiko Graham;Texas State University 
Kasdan, Anna V;Anna V Kasdan;Vanderbilt University 
Michalareas, Georgios;Georgios Michalareas;Max Planck Institute for Empirical Aesthetics
Rowland, Jess;Jess Rowland;New York University
Davidesco, Ido;Ido Davidesco;New York University
Poeppel, David;David Poeppel;New York University and Max Planck Institute for Empirical Aesthetics
Dikker, Suzanne;Suzanne Dikker;New York University and Utrecht University 
Prete, David;David Prete;McMaster University 
Helmer, Karl G;Karl G Helmer;Massachusetts General Hospital
Preciado, Ronny;Ronny Preciado;Massachusetts General Hospital
Falco, Richard;Richard Falco;Worcester Polytechnic Institute
Bianchi, Frederick;Frederick Bianchi;Worcester Polytechnic Institute
Carrillo, Chantal;Chantal Carrillo;McMaster University
Chang, Andrew;Andrew Chang;McMaster University
Li, Yao-Chuen;Yao-Chuen Li;China Medical University
Chan, Jennifer;Jennifer Chan;University of Toronto
Cairney, John;John Cairney;University of Toronto
Trainor, Laurel;Laurel Trainor;McMaster University
Miller, Natalie;Natalie Miller;The University of Texas at Austin
Saarikallio, Suvi H;Suvi H Saarikallio;University of Jyväskylä
Luck, Geoff;Geoff Luck;University of Jyväskylä
Hakula, Laura;Laura Hakula;University of Jyväskylä
Vallius, Linnea;Linnea Vallius;University of Jyväskylä
Heng, Gladys;Gladys Heng;Nanyang Technological University
Wahab, Nur Diyanah Abdul;Nur Diyanah Abdul Wahab;Nanyang Technological University
Chen, Annabel;Annabel Chen;Nanyang Technological University
Cheung, Vincent KM;Vincent KM Cheung;Max Planck Institute for Human Cognitive and Brain Sciences
Harrison, Peter;Peter Harrison;Queen Mary University of London
Meyer, Lars;Lars Meyer;Max Planck Institute for Human Cognitive and Brain Sciences
Haynes, John-Dylan;John-Dylan Haynes;Bernstein Center for Computational Neuroscience
Koelsch, Stefan;Stefan Koelsch;University of Bergen
Bannister, Scott;Scott Bannister;Department of Music, Durham University, United Kingdom
Lee, Kyung Myun;Kyung Myun Lee;KAIST
